Crop,init,mid,end
Small Vegetables,0.7,1.05,0.95
Broccoli,0.7,1.05,0.95
Brussel Sprouts,0.7,1.05,0.95
Cabbage,0.7,1.05,0.95
Carrots,0.7,1.05,0.95
Cauliflower,0.7,1.05,0.95
Celery,0.7,1.05,1
Garlic,0.7,1,0.7
Lettuce,0.7,1,0.95
Onions,0.7,1.05,0.75
Spinach,0.7,1,0.95
Radish,0.7,0.9,0.85
Vegetables,0.6,1.15,0.8
Egg Plant,0.6,1.05,0.9
Sweet Peppers (bell),0.6,1.052,0.9
Tomato,0.6,1.152,0.9
Vegetables,0.5,1,0.8
Cantaloupe,0.5,0.85,0.6
Cucumber,0.6,1.002,0.75
Pumpkin,0.6,1,0.8
Winter Squash,0.6,1,0.8
Squash,0.6,0.95,0.75
Zucchini,0.6,0.95,0.75
Sweet Melons,0.6,1.05,0.75
Watermelon,0.4,1,0.75
Roots and Tubers,0.5,1.1,0.95
Table,0.5,1.05,0.95
Beets,0.5,1.05,0.95
Cassava,0.3,0.803,0.3
Parsnip,0.5,1.05,0.95
Potato,0.5,1.15,0.754
Sweet Potato,0.5,1.15,0.65
Turnip,0.5,1.1,0.95
Sugar Beet,0.35,1.2,0.705
Legumes,0.4,1.15,0.55
Beans(Green),0.5,1.052,0.9
Beans(Dry),0.4,1.152,0.35
Chick pea,0.4,1,0.35
Fababean,0.5,1.152,1.1
Grabanzo,0.4,1.15,0.35
Green Gram and Cowpeas,0.4,1.05,0.6
Peanut,0.4,1.15,0.6
Lentil,0.4,1.1,0.3
Peas,0.5,1.152,1.1
Soybeans,0.5,1.15,0.5
Perennial Vegetables,0.5,1,0.8
Artichokes,0.5,1,0.95
Asparagus,0.5,0.957,0.3
Mint,0.6,1.15,1.1
Strawberries,0.4,0.85,0.75
Fibre Crops,0.35,0.35,0.35
Cotton,0.35,1.2,0.7
Flax,0.35,1.1,0.25
Sisal,0.35,0.7,0.7
Oil Crops,0.35,1.15,0.35
Castorbean,0.35,1.15,0.55
Rapeseed,0.35,1.159,0.35
Canola,0.35,1.16,1.35
Safflower,0.35,1.159,0.25
Sesame,0.35,1.1,0.25
Sunflower,0.35,1.159,0.35
Cereals,0.3,1.15,0.4
Barley,0.3,1.15,0.25
Oats,0.3,1.15,0.25
Spring Wheat,0.3,1.15,0.41
Winter Wheat,0.4,1.15,0.41
Maize(Field),0.4,1.2,0.6
Maize(Sweet),0.4,1.15,1.0512
Millet,0.4,1,0.3
Sorghum,0.4,1.1,0.55
Rice,1.05,1.2,0.9
Alfalfa Hay,0.4014,1.2014,1.1514
Bermuda hay,0.55,1.0013,0.85
Berseem,0.4014,1.1514,1.1014
Clover hay,0.4014,1.1514,1.1014
Rye Grass hay,0.95,1.05,1
Sudan Grass hay,0.5014,1.1514,1.1014
Grazing Pasture,0.4,1.05,0.85
Turf grass,0.9,0.95,0.95
Sugar Cane,0.4,1.25,0.75
Banana,1,1.2,1.1
Cacao,1,1.05,1.05
Coffee,1.05,1.1,1.1
Date Palms,0.9,0.95,0.95
Palm Trees,0.95,1,1
Pineapple,0.5,0.5,0.5
Rubber Trees,0.95,1,1
Tea,1.1,1.15,1.15
Berries,0.3,1.05,0.5
Grapes,0.3,1.05,0.85
Almonds,0.4,0.9,0.6518
Apples,0.8,1.2,0.8518
Pears,0.8,1.2,0.8518
Cherries,0.8,1.2,0.8518
Apricots,0.8,1.15,0.8518
Stone Fruit,0.8,1.15,0.8518
Peaches,0.8,1.15,0.8518
Avocado,0.6,0.85,0.75
Citrus,0.7,0.65,0.7
Citrus,0.85,0.85,0.85
Conifer Trees,1,1,1
Kiwi,0.4,1.05,1.05
Olives,0.65,0.7,0.7
Pistachios,0.4,1.1,0.45
Walnut Orchard,0.5,1.1,0.6518
Cattails,0.6,1.2,0.6
Short Veg,1.05,1.1,1.1
Reed Swamp,1,1.2,1
Banana,120,60,180
Pineapple,60,120,600
Grapes,20,40,120
Hops,25,40,80
Citrus,60,90,120
Deciduous Orchard,20,70,90
Olives,30,90,60
Pistachios,20,60,30
Walnuts,20,10,130
